Timestamp,X,Y,Z
88.42,-0.18734367,-0.338084,9.643433
88.44,-0.18679811,-0.33810818,9.642122
88.46,-0.186912,-0.33776274,9.641479
88.481,-0.18660618,-0.3377319,9.640377
88.501,-0.18618767,-0.3377279,9.640248
88.521,-0.18657273,-0.33769017,9.639435
88.542,-0.18712729,-0.33721915,9.638365
88.562,-0.18736722,-0.3371232,9.637658
88.582,-0.18783697,-0.3371993,9.637665
88.602,-0.18779644,-0.3368633,9.637838
88.623,-0.1875621,-0.33664635,9.638274
88.643,-0.18739717,-0.3368454,9.639592
88.663,-0.1874847,-0.3368277,9.640561
88.684,-0.18772316,-0.3368798,9.641571
88.704,-0.1873112,-0.33684024,9.641545
88.724,-0.18776147,-0.33597845,9.643191
88.744,-0.1875897,-0.33526385,9.643967
88.765,-0.18781951,-0.33459732,9.645578
88.785,-0.18768106,-0.3337811,9.646829
88.805,-0.18773988,-0.33336294,9.647836
88.826,-0.18786809,-0.33308515,9.649067
88.846,-0.18840785,-0.33245316,9.64928
88.866,-0.18805435,-0.33204114,9.650008
88.886,-0.18837892,-0.33173114,9.651338
88.907,-0.18794432,-0.33094192,9.651679
88.927,-0.18810764,-0.33065796,9.653276
88.947,-0.18784666,-0.33017164,9.653121
88.967,-0.18791215,-0.32994103,9.652957
88.988,-0.18761076,-0.3295104,9.653244
89.008,-0.18783006,-0.32932028,9.6529255
89.028,-0.1875788,-0.32868832,9.652384
89.049,-0.18719156,-0.32761165,9.652189
89.069,-0.18683559,-0.32652056,9.651641
89.089,-0.18665142,-0.3257497,9.6507225
89.11,-0.18646422,-0.32503253,9.650306
89.13,-0.18633349,-0.3246793,9.650294
89.15,-0.1862386,-0.32429665,9.649699
89.17,-0.18605609,-0.32382253,9.648136
89.191,-0.18547876,-0.32311267,9.647291
89.211,-0.18517537,-0.3226717,9.645337
89.231,-0.18545693,-0.321889,9.645452
89.251,-0.18520446,-0.3220007,9.644557
89.272,-0.18466446,-0.3214873,9.644433
89.292,-0.18433684,-0.3217128,9.643563
89.312,-0.18430302,-0.32133803,9.644252
89.333,-0.18416585,-0.32101572,9.643868
89.353,-0.18414927,-0.32022524,9.6438055
89.373,-0.1834931,-0.319444,9.643434
89.393,-0.18301576,-0.31877288,9.643167
89.414,-0.18279424,-0.31814745,9.643111
89.434,-0.18217526,-0.31810313,9.642948
89.454,-0.18227488,-0.31785733,9.643637
89.475,-0.181877,-0.3183234,9.6439495
89.495,-0.18192896,-0.318119,9.645371
89.515,-0.18147296,-0.3180728,9.64597
89.535,-0.18127702,-0.31796172,9.647008
89.556,-0.18123013,-0.3178714,9.64771
89.576,-0.18083252,-0.31738007,9.648233
89.596,-0.18085496,-0.31745008,9.6484785
89.616,-0.18128826,-0.31743988,9.649702
89.637,-0.18146925,-0.3173248,9.650361
89.657,-0.18144126,-0.3171522,9.651921
89.677,-0.18150264,-0.31641713,9.653145
89.698,-0.18184394,-0.31557846,9.653573
89.718,-0.18154542,-0.31449565,9.654266
89.738,-0.18188547,-0.3137497,9.654339
89.758,-0.18193433,-0.31348294,9.655452
89.779,-0.18189676,-0.3138185,9.656043
89.799,-0.18175764,-0.31364426,9.656284
89.819,-0.18185242,-0.31389004,9.656915
89.84,-0.18186015,-0.3140961,9.656286
89.86,-0.1820397,-0.31373167,9.656272
89.88,-0.1820451,-0.31332758,9.655847
89.9,-0.18230401,-0.31315544,9.655775
89.921,-0.18218964,-0.31297204,9.655599
89.941,-0.18218634,-0.3127481,9.654525
89.961,-0.1821341,-0.31270638,9.65292
89.981,-0.18193899,-0.31259698,9.6531315
90.002,-0.18225257,-0.31245184,9.65291
90.022,-0.18222456,-0.31211364,9.653083
90.042,-0.18272333,-0.3109276,9.65231
90.063,-0.18248655,-0.31051618,9.65127
90.083,-0.18270364,-0.30977893,9.650417
90.103,-0.18260433,-0.30923834,9.649332
90.123,-0.182243,-0.30903852,9.6492405
90.144,-0.18186392,-0.30903175,9.648459
90.164,-0.18204388,-0.30908227,9.648099
90.184,-0.18204418,-0.30938447,9.647
90.205,-0.18280563,-0.3097115,9.646428
90.225,-0.18288916,-0.31001937,9.645769
90.245,-0.18361132,-0.31011298,9.6462555
90.265,-0.18414073,-0.3102444,9.646229
90.286,-0.18460932,-0.3100728,9.646202
90.306,-0.18465462,-0.3096651,9.646636
90.327,-0.18443297,-0.30980498,9.646468
90.347,-0.18529382,-0.30908328,9.648186
90.367,-0.18546855,-0.30906504,9.648476
90.387,-0.18489555,-0.3091453,9.649078
90.408,-0.18455435,-0.30906084,9.649616
90.428,-0.18433215,-0.3087933,9.650967
90.448,-0.1837728,-0.30905992,9.651639
90.468,-0.18397853,-0.30876985,9.652796
90.489,-0.18331397,-0.30873403,9.652368
90.509,-0.18376145,-0.30939025,9.654314
90.53,-0.18314542,-0.30948934,9.653698
90.55,-0.18394893,-0.30988517,9.655539
90.571,-0.1836035,-0.31017816,9.655399
90.591,-0.18424112,-0.31059325,9.655421
90.611,-0.18469362,-0.31072265,9.655808
90.631,-0.18525541,-0.311379,9.655351
90.652,-0.1857374,-0.31175798,9.655578
90.672,-0.18631314,-0.31184992,9.655012
90.692,-0.18638267,-0.31175187,9.655087
90.712,-0.1869213,-0.31144235,9.653965
90.733,-0.18766841,-0.3113974,9.65306
90.753,-0.1882476,-0.31172228,9.651931
90.773,-0.18865582,-0.3122024,9.650795
90.794,-0.18954177,-0.31273702,9.650216
90.814,-0.19008319,-0.31321946,9.649923
90.834,-0.1902489,-0.31347695,9.649514
90.855,-0.19173306,-0.31395042,9.649633
90.875,-0.19199586,-0.31408948,9.649554
90.895,-0.1926615,-0.31480622,9.650091
90.915,-0.19261472,-0.31469628,9.650796
90.935,-0.19316256,-0.31478748,9.651108
90.956,-0.19285786,-0.3146399,9.651439
90.976,-0.19217075,-0.3142314,9.651399
90.996,-0.19205858,-0.31425017,9.651536
91.016,-0.19216263,-0.31403866,9.651732
91.036,-0.1917643,-0.31405056,9.651107
91.057,-0.19137996,-0.31378806,9.651178
91.077,-0.19093592,-0.31375614,9.650213
91.097,-0.19051228,-0.31330952,9.650422
91.118,-0.18971638,-0.31381318,9.650363
91.138,-0.18970507,-0.3143149,9.650104
91.158,-0.18878843,-0.3147374,9.649445
91.178,-0.18823245,-0.31497532,9.648592
91.198,-0.18784796,-0.31518653,9.648449
91.219,-0.1879083,-0.31550732,9.648544
91.239,-0.18741933,-0.31533852,9.649441
91.259,-0.18663615,-0.31569266,9.64923
91.279,-0.18672289,-0.31574854,9.649295
91.3,-0.1859925,-0.31617254,9.648482
91.32,-0.18595463,-0.31639805,9.648662
91.34,-0.18548818,-0.31686893,9.648308
91.36,-0.18592541,-0.31682593,9.649185
91.381,-0.18608207,-0.31721234,9.650154
91.401,-0.18519403,-0.31698775,9.650238
91.421,-0.18540353,-0.3168742,9.6492405
91.442,-0.18628672,-0.31691977,9.649602
