,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
946,1591401264.65,38.63000011444092,Acceleration,0.1646728516,0.05310058593999999,-1.000442505,1591402928.76949,38.63433003425598,Acceleration,0.095123291015625,0.085205078125,-0.9989166259765621,-0.678389282238825,0.04986000061035156,-0.31818360695092024,-0.016013033691572334,12.342851236294388,0.6151037069553101,361.6290545224781
947,1591401264.69,38.67000007629395,Acceleration,0.1711883545,0.05212402343999999,-0.9881134033,1591402928.7995,38.66434001922607,Acceleration,0.093368530273438,0.08514404296875,-0.9971160888671871,-0.6732998657349187,0.030009984970085668,-0.3241362284101658,-0.009796427679928468,12.330381793213713,0.36979429683955667,362.1162983146984
948,1591401264.73,38.71000003814697,Acceleration,0.1659698486,0.0500793457,-0.9949951172,1591402928.83943,38.70427012443542,Acceleration,0.092071533203125,0.08465576171875,-0.986358642578125,-0.6608757018889688,0.039930105209350586,-0.32874165138175476,-0.013268943381899989,12.31436875952214,0.4915184539604914,362.7314020216537
949,1591401264.78,38.75999999046326,Acceleration,0.1675567627,0.06462097168,-1.003555298,1591402928.89002,38.75485992431641,Acceleration,0.087692260742188,0.084030151367188,-1.01214599609375,-0.7291337585464571,0.050589799880995656,-0.33586683448783666,-0.017216724435549096,12.30457233184221,0.6221502152939723,363.10119631849324
950,1591401264.8,38.77999997138977,Acceleration,0.1684112549,0.06553649902000001,-0.9977416992,1591402928.91934,38.78418016433716,Acceleration,0.091079711914063,0.083328247070313,-1.00070190429687,-0.7301815795729855,0.029320240020744848,-0.34477331336997913,-0.010196468188175557,12.29130338846031,0.3601315662710401,363.59271477245375
951,1591401264.84,38.8199999332428,Acceleration,0.1708374023,0.0645904541,-0.9805755615,1591402928.95918,38.82402014732361,Acceleration,0.07940673828125,0.08563232421875,-0.9977569580078121,-0.7368427276534688,0.039839982986450195,-0.350750882950466,-0.014060480745785866,12.274086664024761,0.4887962903093923,364.2148649877477
952,1591401264.89,38.87000012397766,Acceleration,0.1736450195,0.06045532227000001,-0.9798431395999999,1591402929.00718,38.87202000617981,Acceleration,0.08380126953125,0.08355712890625,-0.9902191162109371,-0.7063810730195063,0.04799985885620117,-0.35509684547692383,-0.017184826444410377,12.263890195836586,0.5883275478824814,364.57499655401875
953,1591401264.92,38.90000009536743,Acceleration,0.1756439209,0.0576171875,-0.9809112549,1591402929.03913,38.90397000312805,Acceleration,0.08905029296875,0.083511352539063,-1.00617980957031,-0.692235488891604,0.03194999694824219,-0.36093969520928876,-0.011606151750095217,12.2498297150908,0.39110749443741005,365.06379284432813
954,1591401264.96,38.94000005722046,Acceleration,0.184967041,0.05183410644999999,-0.9684448242,1591402929.07898,38.94381999969482,Acceleration,0.082183837890625,0.0850830078125,-0.9966278076171871,-0.6715784454575625,0.039849996566765356,-0.36558004555292495,-0.01459908379944545,12.23264488864639,0.4872396042613211,365.65212039221063
955,1591401265.01,38.99000000953674,Acceleration,0.1864776611,0.04479980468999999,-0.9559326172,1591402929.12323,38.98807001113892,Acceleration,0.091537475585938,0.084381103515625,-1.01805114746093,-0.6336323547485907,0.04425001144410601,-0.36712183937626935,-0.016286875077682894,12.221038736896295,0.5404580991539244,366.043227886648
956,1591401265.04,39.01999998092651,Acceleration,0.1836090088,0.05044555664,-0.950012207,1591402929.15884,39.02367997169495,Acceleration,0.087066650390625,0.082427978515625,-0.99615478515625,-0.6517446899383407,0.03560996055603027,-0.36900791725692433,-0.013147198070471055,12.206439653096849,0.43438084708679403,366.53046749090936
957,1591401265.08,39.05999994277954,Acceleration,0.1862640381,0.05152893066000001,-0.9558410645000001,1591402929.19872,39.06356000900269,Acceleration,0.095352172851563,0.080734252929688,-1.00999450683593,-0.6487509155074197,0.03988003730773926,-0.36939211830529856,-0.014792659267983371,12.190152778019167,0.4858815921996744,367.07092559006327
958,1591401265.13,39.1100001335144,Acceleration,0.1782073975,0.05851745605000001,-0.9568176270000001,1591402929.25056,39.11540007591248,Acceleration,0.096771240234375,0.083572387695313,-1.00140380859375,-0.6969506835707603,0.05184006690979004,-0.3724657267029185,-0.01951131021819306,12.177005579948696,0.630873357802314,367.50530643715007
959,1591401265.16,39.14000010490417,Acceleration,0.1687469482,0.06642150879,-0.9577178955,1591402929.27854,39.1433801651001,Acceleration,0.096160888671875,0.090133666992188,-0.998504638671875,-0.7679031372116322,0.027980089187614965,-0.38028446754917783,-0.010868167237932762,12.162212920680712,0.3400268381393733,367.99118802934976
960,1591401265.2,39.1800000667572,Acceleration,0.1568603516,0.07225036621,-0.9491882323999999,1591402929.31839,39.18323016166687,Acceleration,0.090255737304688,0.090774536132813,-0.9981842041015621,-0.7996371459914978,0.03984999656677246,-0.3965656107374503,-0.016002272981357483,12.142701610462519,0.4836700692747144,368.6220613871521
961,1591401265.26,39.24000000953674,Acceleration,0.1518096924,0.08129882812999999,-0.9721832275,1591402929.3703,39.23514008522034,Acceleration,0.088104248046875,0.087570190429688,-1.0142822265625,-0.8283025360352697,0.0519099235534668,-0.40655982765721316,-0.021311827880396435,12.131833443224586,0.6293472082176081,368.96208822529144
962,1591401265.28,39.25999999046326,Acceleration,0.1451873779,0.08126831055,-0.9701080322,1591402929.39834,39.26318001747131,Acceleration,0.0958251953125,0.080429077148438,-0.99609375,-0.7931256866608384,0.028039932250976562,-0.4145482157189411,-0.011744854971620734,12.11583117024323,0.33942829407293484,369.44575829456613
963,1591401265.32,39.29999995231628,Acceleration,0.1297149658,0.08435058594,-0.9825592041,1591402929.43808,39.30292010307312,Acceleration,0.0926513671875,0.076766967773438,-1.00032043457031,-0.7902816009644135,0.03974008560180664,-0.42317527565730423,-0.0169220152206026,12.094519342362833,0.48040386320722867,370.07510550278374
964,1591401265.37,39.34999990463257,Acceleration,0.1480407715,0.07920837402000001,-0.9714813231999999,1591402929.48933,39.35417008399963,Acceleration,0.093994140625,0.085601806640625,-0.99658203125,-0.8083939361403658,0.051249980926506566,-0.42845928749689804,-0.022139067316031075,12.082774487391212,0.6188083355394328,370.4145337968567
965,1591401265.4,39.38000011444092,Acceleration,0.1420135498,0.08016967772999999,-0.9794464111,1591402929.51808,39.38292002677917,Acceleration,0.090408325195313,0.090240478515625,-0.98956298828125,-0.8358618163847906,0.028749942779541016,-0.43550463661768507,-0.012588083817739182,12.06585247217061,0.3465743197020244,370.89493766006393
966,1591401265.44,39.42000007629395,Acceleration,0.1539001465,0.07788085937999999,-0.9756469727,1591402929.55787,39.42270994186401,Acceleration,0.08795166015625,0.086669921875,-0.982330322265625,-0.807121582055775,0.03978991508483887,-0.44018989357783883,-0.017591455854040476,12.043713404854579,0.47896789429220493,371.51374599560336
967,1591401265.49,39.47000002861023,Acceleration,0.1658935547,0.07672119141,-0.9647369385,1591402929.608,39.47283983230591,Acceleration,0.090927124023438,0.079025268554688,-1.00143432617187,-0.7639363861267947,0.05012989044190164,-0.44402691445165804,-0.02233505988362705,12.03112532103684,0.6026780653590271,371.8603203153054
968,1591401265.52,39.5,Acceleration,0.1734924316,0.07534790039,-0.957901001,1591402929.63788,39.50272011756897,Acceleration,0.091552734375,0.075057983398438,-1.00051879882812,-0.7377408599822884,0.029880285263061523,-0.44706060585770363,-0.013420469542148834,12.013533865182799,0.358634129928767,372.3392882095976
969,1591401265.56,39.53999996185303,Acceleration,0.1796264648,0.07301330566,-0.961730957,1591402929.67763,39.5424702167511,Acceleration,0.092788696289063,0.076629638671875,-0.993560791015625,-0.7339986419478469,0.039750099182128906,-0.45122195229038925,-0.018130290307465942,11.991198805299172,0.47638460932558213,372.94196627495666
970,1591401265.61,39.58999991416931,Acceleration,0.1805267334,0.07475280762,-0.9761199951,1591402929.72814,39.59298014640808,Acceleration,0.097076416015625,0.084304809570313,-0.9880828857421871,-0.7801776123184853,0.05050992965698242,-0.4609916361283822,-0.02346913782211244,11.977778335757023,0.6045388613419698,373.3006004048854
971,1591401265.64,39.62000012397766,Acceleration,0.17137146,0.07167053222999999,-0.9900970459,1591402929.7575,39.62233996391296,Acceleration,0.09857177734375,0.083541870117188,-1.00401306152343,-0.7613168335129571,0.029359817504875707,-0.4682964457000233,-0.013844685813056931,11.959648045449557,0.3507885592352154,373.776985014211
972,1591401265.68,39.66000008583069,Acceleration,0.1856842041,0.07174682617,-0.9756317139,1591402929.7974,39.66224002838135,Acceleration,0.09967041015625,0.080429077148438,-0.9981536865234371,-0.7464228057769384,0.039900064468390894,-0.4748079050513246,-0.019022310600241038,11.936178907627443,0.47597810599233986,374.38152387555294
973,1591401265.73,39.71000003814697,Acceleration,0.1697540283,0.07763671875,-0.9937286377,1591402929.85084,39.71568012237549,Acceleration,0.101943969726562,0.076324462890625,-1.00399780273437,-0.7551795959472657,0.053440093994140625,-0.47868983254309166,-0.025570030514072636,11.922334221814387,0.636622384410089,374.7323124347882
974,1591401265.76,39.74000000953674,Acceleration,0.1844177246,0.07447814941,-0.950302124,1591402929.87727,39.74211001396179,Acceleration,0.102935791015625,0.080795288085938,-1.00419616699218,-0.7616162109175759,0.02642989158630371,-0.478270704123488,-0.012659962578905917,11.903311911214146,0.3142653367641748,375.2082905407805
975,1591401265.8,39.77999997138977,Acceleration,0.1698760986,0.08622741698999999,-0.9804077148,1591402929.9174,39.78223991394043,Acceleration,0.10467529296875,0.081268310546875,-1.00460815429687,-0.8215665435683718,0.040129899978637695,-0.4797326639619462,-0.019234804239750113,11.877741880700073,0.4763985721285576,375.8449129251906
976,1591401265.85,39.82999992370605,Acceleration,0.1813354492,0.08657836913999999,-0.9778747559000001,1591402929.96861,39.83345007896423,Acceleration,0.101577758789062,0.079727172851563,-0.9932403564453121,-0.8157286834686166,0.05121016502380371,-0.47889440712416936,-0.024560162103243653,11.865081918121167,0.6071202942982753,376.15917826195476
