loggingTime,loggingTimeElapsed,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,,,
1591401257.30,31.28,785,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-5.245117188,7.838012695,-6.311187744,340.5768433,340.4344177,11.97742271,208612.0779,0.1508789063,0.04116821289,-0.962020874,208612.0405,-0.01043533068,0.008564193733,-0.01618376374,208609.0493,0,2.779721,101.2523,,,
1591401257.34,31.32,786,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-5.678710938,8.152069092,-7.01272583,343.3216553,343.1792297,11.97682953,208612.1178,0.1606445313,0.04124450684,-0.9692840576,208612.0804,-0.006789462641,0.003447728232,-0.01916197687,208609.0493,0,2.779721,101.2523,,,
1591401257.40,31.37,787,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-6.263549805,7.048553467,-6.800140381,345.9923096,345.849884,11.97624302,208612.1577,0.1726226807,0.03314208984,-0.9707336426,208612.1203,-0.007530354429,0.01302259136,-0.01738085411,208609.0493,0,2.779721,101.2523,,,
1591401257.42,31.40,788,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-6.263549805,7.048553467,-6.800140381,345.9923096,345.849884,11.97624302,208612.1976,0.1840209961,0.03541564941,-0.9748840332,208612.1602,-0.005411543418,0.009663013741,-0.01798139699,208609.0493,0,2.779721,101.2523,,,
1591401257.46,31.44,789,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-7.850830078,5.656341553,-4.687866211,349.0687256,348.9263,11.95187569,208612.2375,0.1880187988,0.03694152832,-0.9799957275,208612.2001,-0.004845887888,0.00545841502,-0.01845890284,208609.0493,0,2.779721,101.2523,,,
1591401257.51,31.49,790,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-9.840942383,6.932952881,-2.094543457,352.1767273,352.0343018,11.9512949,208612.2775,0.2049102783,0.0354309082,-0.9878540039,208612.24,-0.004640291911,0.001515605021,-0.01939207315,208609.0493,0,2.779721,101.2523,,,
1591401257.54,31.52,791,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-11.52233887,6.906707764,0.5910949707,353.3386536,353.196228,12.01511288,208612.3174,0.1986694336,0.04183959961,-0.9894714355,208612.28,-0.007872303948,-0.01993216202,-0.01469585579,208609.0493,0,2.779721,101.2523,,,
1591401257.58,31.56,792,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-11.52233887,6.906707764,0.5910949707,353.3386536,353.196228,12.01511288,208612.3573,0.206237793,0.04570007324,-1.004745483,208612.3199,-0.01106676552,-0.01911164261,-0.01549853198,208609.0493,0,2.779721,101.2523,,,
1591401257.64,31.62,793,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-17.05175781,5.37979126,3.688476563,353.2528687,353.1104431,12.85230732,208612.3972,0.1970214844,0.0442199707,-1.005371094,208612.3598,-0.009490706958,-0.01495870948,-0.01430330519,208609.0493,0,2.779721,101.2523,,,
1591401257.66,31.64,794,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-17.05175781,5.37979126,3.688476563,353.2528687,353.1104431,12.85230732,208612.4371,0.1885070801,0.0443572998,-1.011871338,208612.4396,-0.00182852638,-0.00875061471,-0.006847519893,208609.0493,0,2.779721,101.2523,,,
1591401257.70,31.68,795,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-19.76611328,7.226715088,4.665893555,353.2003174,353.0578918,13.85144138,208612.477,0.1745452881,0.04934692383,-1.029541016,208612.4396,-0.00182852638,-0.00875061471,-0.006847519893,208610.0072,0,4.048034,101.2371,,,
1591401257.75,31.73,796,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-23.68591309,8.022521973,4.295013428,353.1434631,353.0010376,13.85148525,208612.517,0.1583099365,0.04547119141,-1.00328064,208612.4795,-0.00750878267,-0.03106177971,-0.009389240295,208610.0072,0,4.048034,101.2371,,,
1591401257.78,31.76,797,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401258,-23.68591309,8.022521973,4.295013428,353.1434631,353.0010376,13.85148525,208612.5569,0.1416015625,0.05253601074,-0.9949645996,208612.5195,-0.007714645006,-0.02606036328,-0.01086995844,208610.0072,0,4.048034,101.2371,,,
